Saved at time: 5400 milliseconds
Integration time: 10000000
Scans to average: 0
Boxcar smoothing: 0
Wavelengths	Intensities
337.35134888	2056.00000000
337.80362194	2122.00000000
338.25595141	2239.00000000
338.70833725	2169.00000000
339.16077942	2011.00000000
339.61327788	1945.00000000
340.06583261	2121.00000000
340.51844356	1688.00000000
340.97111069	1753.00000000
341.42383397	1704.00000000
341.87661336	1519.00000000
342.32944883	1801.00000000
342.78234033	1789.00000000
343.23528784	1947.00000000
343.68829131	2149.00000000
344.14135070	1940.00000000
344.59446599	2094.00000000
345.04763714	1857.00000000
345.50086410	1715.00000000
345.95414684	2175.00000000
346.40748532	1918.00000000
346.86087951	1917.00000000
347.31432937	2058.00000000
347.76783486	2180.00000000
348.22139595	1962.00000000
348.67501260	1944.00000000
349.12868478	2083.00000000
349.58241244	1897.00000000
350.03619554	2092.00000000
350.49003406	2020.00000000
350.94392796	1961.00000000
351.39787720	1740.00000000
351.85188173	1926.00000000
352.30594153	1754.00000000
352.76005657	1900.00000000
353.21422679	1684.00000000
353.66845217	2056.00000000
354.12273266	1767.00000000
354.57706824	1849.00000000
355.03145886	1915.00000000
355.48590449	2003.00000000
355.94040509	2061.00000000
356.39496062	1915.00000000
356.84957105	1930.00000000
357.30423634	2067.00000000
357.75895646	2077.00000000
358.21373136	1877.00000000
358.66856102	1699.00000000
359.12344538	2019.00000000
359.57838442	2036.00000000
360.03337811	1530.00000000
360.48842639	2034.00000000
360.94352924	1621.00000000
361.39868662	1984.00000000
361.85389850	1981.00000000
362.30916483	2012.00000000
362.76448558	2079.00000000
363.21986071	1708.00000000
363.67529018	1838.00000000
364.13077397	2065.00000000
364.58631202	2013.00000000
365.04190431	1775.00000000
365.49755080	1655.00000000
365.95325145	2148.00000000
366.40900623	1740.00000000
366.86481509	2063.00000000
367.32067801	2148.00000000
367.77659494	2047.00000000
368.23256584	2132.00000000
368.68859069	1992.00000000
369.14466944	1772.00000000
369.60080206	2027.00000000
370.05698851	1802.00000000
370.51322875	1480.00000000
370.96952275	1789.00000000
371.42587047	2150.00000000
371.88227187	2169.00000000
372.33872691	2134.00000000
372.79523557	1769.00000000
373.25179780	1682.00000000
373.70841357	1980.00000000
374.16508283	1970.00000000
374.62180556	2013.00000000
375.07858171	2076.00000000
375.53541125	2118.00000000
375.99229415	2111.00000000
376.44923035	1559.00000000
376.90621984	1807.00000000
377.36326257	2089.00000000
377.82035850	1804.00000000
378.27750760	1809.00000000
378.73470984	146.00000000
379.19196516	1866.00000000
379.64927355	2083.00000000
380.10663495	1291.00000000
380.56404934	1811.00000000
381.02151668	1945.00000000
381.47903693	2141.00000000
381.93661005	1889.00000000
382.39423600	1730.00000000
382.85191476	2068.00000000
383.30964628	1820.00000000
383.76743053	1824.00000000
384.22526746	1940.00000000
384.68315705	1700.00000000
385.14109926	2079.00000000
385.59909404	1898.00000000
386.05714137	1955.00000000
386.51524120	1958.00000000
386.97339351	1872.00000000
387.43159824	1872.00000000
387.88985537	1974.00000000
388.34816486	2039.00000000
388.80652667	1918.00000000
389.26494076	2041.00000000
389.72340710	2007.00000000
390.18192566	2023.00000000
390.64049638	1948.00000000
391.09911925	2056.00000000
391.55779422	1697.00000000
392.01652125	2065.00000000
392.47530030	1981.00000000
392.93413135	1231.00000000
393.39301436	2153.00000000
393.85194927	2036.00000000
394.31093607	1550.00000000
394.76997472	1937.00000000
395.22906517	1798.00000000
395.68820739	1598.00000000
396.14740134	2070.00000000
396.60664699	2251.00000000
397.06594429	1865.00000000
397.52529322	2112.00000000
397.98469374	2068.00000000
398.44414581	1980.00000000
398.90364938	1668.00000000
399.36320444	2113.00000000
399.82281093	2006.00000000
400.28246882	1956.00000000
400.74217808	2218.00000000
401.20193867	1893.00000000
401.66175054	1978.00000000
402.12161368	2152.00000000
402.58152803	2022.00000000
403.04149356	1926.00000000
403.50151023	2207.00000000
403.96157802	2077.00000000
404.42169687	2037.00000000
404.88186676	1859.00000000
405.34208764	1837.00000000
405.80235949	2031.00000000
406.26268226	1796.00000000
406.72305591	1848.00000000
407.18348042	2138.00000000
407.64395574	2220.00000000
408.10448183	2063.00000000
408.56505866	1640.00000000
409.02568620	1812.00000000
409.48636440	1702.00000000
409.94709324	1925.00000000
410.40787266	1851.00000000
410.86870264	1583.00000000
411.32958314	1992.00000000
411.79051412	1861.00000000
412.25149554	1239.00000000
412.71252738	1680.00000000
413.17360958	1949.00000000
413.63474212	1990.00000000
414.09592496	2070.00000000
414.55715806	2239.00000000
415.01844138	1837.00000000
415.47977490	1794.00000000
415.94115856	2108.00000000
416.40259233	2155.00000000
416.86407619	1592.00000000
417.32561008	1641.00000000
417.78719398	2054.00000000
418.24882784	1801.00000000
418.71051164	2175.00000000
419.17224533	1681.00000000
419.63402887	2112.00000000
420.09586223	2071.00000000
420.55774538	1898.00000000
421.01967827	1847.00000000
421.48166087	1993.00000000
421.94369315	1684.00000000
422.40577506	2063.00000000
422.86790657	1809.00000000
423.33008764	1197.00000000
423.79231823	2059.00000000
424.25459832	2088.00000000
424.71692786	1708.00000000
425.17930681	1939.00000000
425.64173514	1810.00000000
426.10421281	1932.00000000
426.56673978	1715.00000000
427.02931602	1328.00000000
427.49194150	1916.00000000
427.95461617	2111.00000000
428.41733999	2077.00000000
428.88011294	2097.00000000
429.34293497	2103.00000000
429.80580604	1532.00000000
430.26872613	1909.00000000
430.73169519	2108.00000000
431.19471319	1974.00000000
431.65778008	1854.00000000
432.12089584	1909.00000000
432.58406043	1958.00000000
433.04727380	1052.00000000
433.51053593	1636.00000000
433.97384677	2086.00000000
434.43720630	1849.00000000
434.90061446	1291.00000000
435.36407123	2092.00000000
435.82757657	2291.00000000
436.29113044	1888.00000000
436.75473281	2025.00000000
437.21838363	1990.00000000
437.68208288	1866.00000000
438.14583051	2213.00000000
438.60962648	1824.00000000
439.07347077	1884.00000000
439.53736333	2118.00000000
440.00130413	1896.00000000
440.46529314	2173.00000000
440.92933030	1984.00000000
441.39341559	1589.00000000
441.85754898	1949.00000000
442.32173041	2002.00000000
442.78595986	2064.00000000
443.25023730	1861.00000000
443.71456267	1794.00000000
444.17893595	2140.00000000
444.64335711	2176.00000000
445.10782609	1582.00000000
445.57234287	1915.00000000
446.03690741	2006.00000000
446.50151967	1715.00000000
446.96617962	1879.00000000
447.43088721	1762.00000000
447.89564242	2058.00000000
448.36044520	2141.00000000
448.82529553	1979.00000000
449.29019335	2168.00000000
449.75513864	1788.00000000
450.22013135	2114.00000000
450.68517146	1990.00000000
451.15025892	1760.00000000
451.61539370	1752.00000000
452.08057576	2098.00000000
452.54580506	2155.00000000
453.01108157	2040.00000000
453.47640525	2138.00000000
453.94177607	1803.00000000
454.40719398	1997.00000000
454.87265895	1892.00000000
455.33817095	1918.00000000
455.80372993	1882.00000000
456.26933586	1965.00000000
456.73498870	1863.00000000
457.20068842	2164.00000000
457.66643498	2090.00000000
458.13222835	1245.00000000
458.59806847	510.00000000
459.06395533	1737.00000000
459.52988888	1640.00000000
459.99586908	2092.00000000
460.46189590	2155.00000000
460.92796931	1583.00000000
461.39408926	2083.00000000
461.86025571	1788.00000000
462.32646864	2020.00000000
462.79272800	2000.00000000
463.25903377	2180.00000000
463.72538589	2139.00000000
464.19178433	1977.00000000
464.65822906	1767.00000000
465.12472005	2029.00000000
465.59125725	2008.00000000
466.05784062	2124.00000000
466.52447013	1984.00000000
466.99114575	1842.00000000
467.45786744	1976.00000000
467.92463515	1915.00000000
468.39144886	1935.00000000
468.85830852	1769.00000000
469.32521410	1971.00000000
469.79216557	2092.00000000
470.25916288	1898.00000000
470.72620600	2011.00000000
471.19329489	1792.00000000
471.66042952	1913.00000000
472.12760985	2022.00000000
472.59483583	1937.00000000
473.06210745	1881.00000000
473.52942465	2102.00000000
473.99678740	2262.00000000
474.46419567	1542.00000000
474.93164941	1898.00000000
475.39914860	1975.00000000
475.86669319	1623.00000000
476.33428315	2163.00000000
476.80191844	1896.00000000
477.26959902	2069.00000000
477.73732486	1783.00000000
478.20509592	1855.00000000
478.67291216	1940.00000000
479.14077355	1969.00000000
479.60868006	1876.00000000
480.07663163	1991.00000000
480.54462824	1695.00000000
481.01266985	1999.00000000
481.48075642	1901.00000000
481.94888792	2068.00000000
482.41706430	1768.00000000
482.88528554	1882.00000000
