Saved at time: 26717433 milliseconds
Integration time: 10000000
Scans to average: 0
Boxcar smoothing: 0
Wavelengths	Intensities
337.35134888	2103.00000000
337.80362194	2192.00000000
338.25595141	2319.00000000
338.70833725	2257.00000000
339.16077942	2070.00000000
339.61327788	2001.00000000
340.06583261	2200.00000000
340.51844356	1717.00000000
340.97111069	1805.00000000
341.42383397	1742.00000000
341.87661336	1545.00000000
342.32944883	1835.00000000
342.78234033	1835.00000000
343.23528784	2004.00000000
343.68829131	2230.00000000
344.14135070	1994.00000000
344.59446599	2159.00000000
345.04763714	1911.00000000
345.50086410	1751.00000000
345.95414684	2248.00000000
346.40748532	1978.00000000
346.86087951	1971.00000000
347.31432937	2125.00000000
347.76783486	2259.00000000
348.22139595	2029.00000000
348.67501260	2010.00000000
349.12868478	2171.00000000
349.58241244	1945.00000000
350.03619554	2164.00000000
350.49003406	2080.00000000
350.94392796	2023.00000000
351.39787720	1782.00000000
351.85188173	1993.00000000
352.30594153	1729.00000000
352.76005657	1945.00000000
353.21422679	1737.00000000
353.66845217	2124.00000000
354.12273266	1813.00000000
354.57706824	1893.00000000
355.03145886	1968.00000000
355.48590449	2066.00000000
355.94040509	2128.00000000
356.39496062	1977.00000000
356.84957105	1982.00000000
357.30423634	2148.00000000
357.75895646	2157.00000000
358.21373136	1920.00000000
358.66856102	1732.00000000
359.12344538	2095.00000000
359.57838442	2110.00000000
360.03337811	1559.00000000
360.48842639	2101.00000000
360.94352924	1649.00000000
361.39868662	2042.00000000
361.85389850	2053.00000000
362.30916483	2062.00000000
362.76448558	2154.00000000
363.21986071	1724.00000000
363.67529018	1883.00000000
364.13077397	2129.00000000
364.58631202	2094.00000000
365.04190431	1814.00000000
365.49755080	1681.00000000
365.95325145	2230.00000000
366.40900623	1782.00000000
366.86481509	2132.00000000
367.32067801	2221.00000000
367.77659494	2115.00000000
368.23256584	2202.00000000
368.68859069	2056.00000000
369.14466944	1847.00000000
369.60080206	2099.00000000
370.05698851	1839.00000000
370.51322875	1496.00000000
370.96952275	1825.00000000
371.42587047	2231.00000000
371.88227187	2251.00000000
372.33872691	2217.00000000
372.79523557	1778.00000000
373.25179780	1723.00000000
373.70841357	1972.00000000
374.16508283	2020.00000000
374.62180556	2079.00000000
375.07858171	2169.00000000
375.53541125	2189.00000000
375.99229415	2194.00000000
376.44923035	1506.00000000
376.90621984	1837.00000000
377.36326257	2157.00000000
377.82035850	1854.00000000
378.27750760	1872.00000000
378.73470984	104.00000000
379.19196516	1914.00000000
379.64927355	2156.00000000
380.10663495	1284.00000000
380.56404934	1856.00000000
381.02151668	2010.00000000
381.47903693	2218.00000000
381.93661005	1926.00000000
382.39423600	1777.00000000
382.85191476	2140.00000000
383.30964628	1873.00000000
383.76743053	1877.00000000
384.22526746	1991.00000000
384.68315705	1745.00000000
385.14109926	2155.00000000
385.59909404	1962.00000000
386.05714137	2003.00000000
386.51524120	2018.00000000
386.97339351	1900.00000000
387.43159824	1928.00000000
387.88985537	2041.00000000
388.34816486	2088.00000000
388.80652667	1980.00000000
389.26494076	2111.00000000
389.72340710	2085.00000000
390.18192566	2089.00000000
390.64049638	2008.00000000
391.09911925	2116.00000000
391.55779422	1724.00000000
392.01652125	2141.00000000
392.47530030	2059.00000000
392.93413135	1207.00000000
393.39301436	2250.00000000
393.85194927	2105.00000000
394.31093607	1580.00000000
394.76997472	1992.00000000
395.22906517	1859.00000000
395.68820739	1630.00000000
396.14740134	2152.00000000
396.60664699	2340.00000000
