Saved at time: 1080346 milliseconds
Integration time: 100000
Scans to average: 0
Boxcar smoothing: 0
Wavelengths	Intensities
337.35134888	1639.00000000
337.80362194	1642.00000000
338.25595141	1636.00000000
338.70833725	1626.00000000
339.16077942	1636.00000000
339.61327788	1623.00000000
340.06583261	1628.00000000
340.51844356	1627.00000000
340.97111069	1628.00000000
341.42383397	1624.00000000
341.87661336	1636.00000000
342.32944883	1621.00000000
342.78234033	1634.00000000
343.23528784	1625.00000000
343.68829131	1624.00000000
344.14135070	1631.00000000
344.59446599	1634.00000000
345.04763714	1627.00000000
345.50086410	1629.00000000
345.95414684	1634.00000000
346.40748532	1622.00000000
346.86087951	1628.00000000
347.31432937	1626.00000000
347.76783486	1635.00000000
348.22139595	1635.00000000
348.67501260	1631.00000000
349.12868478	1632.00000000
349.58241244	1633.00000000
350.03619554	1634.00000000
350.49003406	1639.00000000
350.94392796	1635.00000000
351.39787720	1640.00000000
351.85188173	1633.00000000
352.30594153	1641.00000000
352.76005657	1629.00000000
353.21422679	1638.00000000
353.66845217	1631.00000000
354.12273266	1628.00000000
354.57706824	1637.00000000
355.03145886	1634.00000000
355.48590449	1642.00000000
355.94040509	1638.00000000
356.39496062	1642.00000000
356.84957105	1642.00000000
357.30423634	1643.00000000
357.75895646	1646.00000000
358.21373136	1646.00000000
358.66856102	1644.00000000
359.12344538	1654.00000000
359.57838442	1661.00000000
360.03337811	1656.00000000
360.48842639	1653.00000000
360.94352924	1653.00000000
361.39868662	1656.00000000
361.85389850	1657.00000000
362.30916483	1656.00000000
362.76448558	1672.00000000
363.21986071	1659.00000000
363.67529018	1662.00000000
364.13077397	1671.00000000
364.58631202	1665.00000000
365.04190431	1658.00000000
365.49755080	1664.00000000
365.95325145	1674.00000000
366.40900623	1672.00000000
366.86481509	1670.00000000
367.32067801	1685.00000000
367.77659494	1676.00000000
368.23256584	1684.00000000
368.68859069	1679.00000000
369.14466944	1684.00000000
369.60080206	1691.00000000
370.05698851	1684.00000000
370.51322875	1691.00000000
370.96952275	1688.00000000
371.42587047	1691.00000000
371.88227187	1690.00000000
372.33872691	1703.00000000
372.79523557	1700.00000000
373.25179780	1701.00000000
373.70841357	1698.00000000
374.16508283	1711.00000000
374.62180556	1709.00000000
375.07858171	1714.00000000
375.53541125	1721.00000000
375.99229415	1717.00000000
376.44923035	1711.00000000
376.90621984	1722.00000000
377.36326257	1740.00000000
377.82035850	1731.00000000
378.27750760	1741.00000000
378.73470984	1717.00000000
379.19196516	1730.00000000
379.64927355	1741.00000000
380.10663495	1737.00000000
380.56404934	1746.00000000
381.02151668	1764.00000000
381.47903693	1767.00000000
381.93661005	1764.00000000
382.39423600	1775.00000000
382.85191476	1787.00000000
383.30964628	1788.00000000
383.76743053	1808.00000000
384.22526746	1797.00000000
384.68315705	1808.00000000
385.14109926	1806.00000000
385.59909404	1817.00000000
386.05714137	1822.00000000
386.51524120	1823.00000000
386.97339351	1825.00000000
387.43159824	1833.00000000
387.88985537	1835.00000000
388.34816486	1837.00000000
388.80652667	1853.00000000
389.26494076	1859.00000000
389.72340710	1864.00000000
390.18192566	1862.00000000
390.64049638	1871.00000000
391.09911925	1879.00000000
391.55779422	1884.00000000
392.01652125	1908.00000000
392.47530030	1891.00000000
392.93413135	1902.00000000
393.39301436	1909.00000000
393.85194927	1909.00000000
394.31093607	1921.00000000
394.76997472	1926.00000000
395.22906517	1930.00000000
395.68820739	1924.00000000
396.14740134	1943.00000000
396.60664699	1943.00000000
397.06594429	1944.00000000
397.52529322	1946.00000000
397.98469374	1960.00000000
398.44414581	1949.00000000
398.90364938	1952.00000000
399.36320444	1967.00000000
399.82281093	1988.00000000
400.28246882	1993.00000000
400.74217808	2009.00000000
401.20193867	2007.00000000
401.66175054	2037.00000000
402.12161368	2041.00000000
402.58152803	2043.00000000
403.04149356	2053.00000000
403.50151023	2061.00000000
403.96157802	2070.00000000
404.42169687	2073.00000000
404.88186676	2078.00000000
405.34208764	2065.00000000
405.80235949	2085.00000000
406.26268226	2066.00000000
406.72305591	2078.00000000
407.18348042	2084.00000000
407.64395574	2082.00000000
408.10448183	2085.00000000
408.56505866	2091.00000000
409.02568620	2070.00000000
409.48636440	2102.00000000
409.94709324	2104.00000000
410.40787266	2122.00000000
410.86870264	2105.00000000
411.32958314	2140.00000000
411.79051412	2149.00000000
412.25149554	2159.00000000
412.71252738	2167.00000000
413.17360958	2179.00000000
413.63474212	2185.00000000
414.09592496	2184.00000000
414.55715806	2190.00000000
415.01844138	2177.00000000
415.47977490	2181.00000000
415.94115856	2179.00000000
416.40259233	2172.00000000
416.86407619	2198.00000000
417.32561008	2175.00000000
417.78719398	2183.00000000
418.24882784	2185.00000000
418.71051164	2193.00000000
419.17224533	2194.00000000
419.63402887	2186.00000000
420.09586223	2212.00000000
420.55774538	2208.00000000
421.01967827	2213.00000000
421.48166087	2232.00000000
421.94369315	2241.00000000
422.40577506	2271.00000000
422.86790657	2283.00000000
423.33008764	2307.00000000
423.79231823	2318.00000000
424.25459832	2352.00000000
424.71692786	2356.00000000
425.17930681	2351.00000000
425.64173514	2348.00000000
426.10421281	2371.00000000
426.56673978	2346.00000000
427.02931602	2344.00000000
427.49194150	2343.00000000
427.95461617	2359.00000000
428.41733999	2363.00000000
428.88011294	2354.00000000
429.34293497	2366.00000000
429.80580604	2350.00000000
430.26872613	2354.00000000
430.73169519	2381.00000000
431.19471319	2368.00000000
431.65778008	2385.00000000
432.12089584	2389.00000000
432.58406043	2424.00000000
433.04727380	2431.00000000
433.51053593	2469.00000000
433.97384677	2488.00000000
434.43720630	2508.00000000
434.90061446	2531.00000000
435.36407123	2527.00000000
435.82757657	2590.00000000
436.29113044	2535.00000000
436.75473281	2556.00000000
437.21838363	2581.00000000
437.68208288	2575.00000000
438.14583051	2586.00000000
438.60962648	2569.00000000
439.07347077	2564.00000000
439.53736333	2585.00000000
440.00130413	2600.00000000
440.46529314	2608.00000000
440.92933030	2618.00000000
441.39341559	2613.00000000
441.85754898	2623.00000000
442.32173041	2658.00000000
442.78595986	2662.00000000
443.25023730	2679.00000000
443.71456267	2708.00000000
444.17893595	2739.00000000
444.64335711	2764.00000000
445.10782609	2771.00000000
445.57234287	2833.00000000
446.03690741	2884.00000000
446.50151967	2911.00000000
446.96617962	2931.00000000
447.43088721	2965.00000000
447.89564242	2996.00000000
448.36044520	3052.00000000
448.82529553	3073.00000000
449.29019335	3081.00000000
449.75513864	3069.00000000
450.22013135	3089.00000000
450.68517146	3116.00000000
451.15025892	3120.00000000
451.61539370	3071.00000000
452.08057576	3095.00000000
452.54580506	3121.00000000
453.01108157	3138.00000000
453.47640525	3127.00000000
453.94177607	3172.00000000
454.40719398	3109.00000000
454.87265895	3083.00000000
455.33817095	3189.00000000
455.80372993	3179.00000000
456.26933586	3211.00000000
456.73498870	3221.00000000
457.20068842	3204.00000000
457.66643498	3257.00000000
458.13222835	3290.00000000
458.59806847	3276.00000000
459.06395533	3366.00000000
459.52988888	3309.00000000
459.99586908	3319.00000000
460.46189590	3353.00000000
460.92796931	3314.00000000
461.39408926	3333.00000000
461.86025571	3326.00000000
462.32646864	3337.00000000
462.79272800	3320.00000000
463.25903377	3285.00000000
463.72538589	3319.00000000
464.19178433	3310.00000000
464.65822906	3271.00000000
465.12472005	3296.00000000
465.59125725	3266.00000000
466.05784062	3247.00000000
466.52447013	3293.00000000
466.99114575	3255.00000000
467.45786744	3284.00000000
467.92463515	3305.00000000
468.39144886	3272.00000000
468.85830852	3277.00000000
469.32521410	3303.00000000
469.79216557	3318.00000000
470.25916288	3352.00000000
470.72620600	3386.00000000
471.19329489	3450.00000000
471.66042952	3436.00000000
472.12760985	3505.00000000
472.59483583	3526.00000000
473.06210745	3591.00000000
473.52942465	3620.00000000
473.99678740	3669.00000000
474.46419567	3714.00000000
474.93164941	3788.00000000
475.39914860	3811.00000000
475.86669319	3795.00000000
476.33428315	3853.00000000
476.80191844	3846.00000000
477.26959902	3835.00000000
477.73732486	3877.00000000
478.20509592	3869.00000000
478.67291216	3934.00000000
479.14077355	3886.00000000
479.60868006	3888.00000000
480.07663163	3869.00000000
480.54462824	3942.00000000
481.01266985	3888.00000000
481.48075642	3890.00000000
481.94888792	3882.00000000
482.41706430	3888.00000000
482.88528554	3888.00000000
483.35355160	3913.00000000
483.82186243	3917.00000000
484.29021801	3941.00000000
484.75861829	3983.00000000
485.22706324	3964.00000000
485.69555282	4007.00000000
486.16408699	4079.00000000
486.63266573	4085.00000000
487.10128898	4109.00000000
487.56995672	4175.00000000
488.03866891	4209.00000000
488.50742551	4266.00000000
488.97622648	4309.00000000
489.44507179	4424.00000000
489.91396139	4451.00000000
490.38289527	4486.00000000
490.85187337	4557.00000000
491.32089566	4531.00000000
491.78996210	4612.00000000
492.25907266	4661.00000000
492.72822730	4690.00000000
493.19742598	4656.00000000
493.66666867	4688.00000000
494.13595533	4641.00000000
494.60528591	4712.00000000
495.07466040	4680.00000000
495.54407874	4693.00000000
